AAPL
MSFT
TSM
INTC
CSCO
ORCL
SAP
ADBE
CRM
NVDA
ACN
ASML
TXN
IBM
QCOM
FIS
SNE
INTU
MU
VMW
AMAT
AMD
ADI
LRCX
INFY
ADSK
CTSH
TEL
APH
HPQ
